filename,prompt
electrician_work_01.jpg,"Professional photo of electrical work completed, modern electrical panel neatly organized with labeled circuit breakers, clean wiring, Israeli standard electrical box, bright workshop lighting, high quality professional photography"
electrician_cert_01.jpg,"Hebrew professional electrician certificate diploma, official Israeli electrical contractor license, framed certificate on white wall, elegant gold border, Hebrew text, professional photography"
electrician_work_02.jpg,"Professional electrician installing modern light fixtures, clean organized wiring, contemporary Israeli apartment, work in progress, bright natural lighting, professional construction photography"
electrician_cert_02.jpg,"Collection of Hebrew electrical certifications and training diplomas displayed on wall, multiple framed certificates, Israeli electrical authority approvals, professional photography"
plumber_work_01.jpg,"Professional plumbing installation, modern bathroom renovation in Israeli apartment, new pipes and fixtures, chrome faucet installation, clean quality work, professional photography"
plumber_cert_01.jpg,"Hebrew plumbing certification diploma, Israeli licensed plumber certificate, framed on wall, official seal and signature, professional photography"
plumber_work_02.jpg,"Completed kitchen sink installation, modern Israeli kitchen, stainless steel sink with chrome faucet, under-sink plumbing neatly organized, professional quality work photography"
plumber_cert_02.jpg,"Professional plumber training certificates, Hebrew water systems diploma, multiple framed certifications, Israeli plumbing association membership, professional photography"
renovation_work_01.jpg,"Before and after home renovation, Israeli apartment transformation, modern living room remodel, new flooring and painted walls, professional construction photography"
renovation_cert_01.jpg,"Hebrew contractor license certificate, Israeli home renovation certification, framed diploma with gold seal, professional business credentials, wall display photography"
renovation_work_02.jpg,"Kitchen renovation completed project, modern Israeli kitchen design, new cabinets and countertops, high quality finishing, professional interior photography"
renovation_cert_02.jpg,"Construction safety certification Hebrew, Israeli building contractor diploma, professional training certificates framed on wall, high quality photography"
painter_work_01.jpg,"Freshly painted room interior, smooth walls perfect finish, Israeli apartment professional painting job, before and after transformation, professional photography"
painter_cert_01.jpg,"Hebrew decorative painting certification, Israeli painter professional diploma, framed certificate gold border, official credentials display, professional photography"
painter_work_02.jpg,"Decorative wall painting technique, textured finish accent wall, modern Israeli interior design, skilled craftsman work result, professional photography"
painter_cert_02.jpg,"Professional painter training certificates Hebrew text, color theory and techniques diplomas, multiple framed certifications, professional photography"
furniture_work_01.jpg,"Custom made wooden furniture, Israeli craftsman cabinet work, beautiful oak bookshelf, hand crafted quality details, professional product photography"
furniture_cert_01.jpg,"Hebrew carpentry certification diploma, Israeli woodworking master craftsman certificate, framed with wood border, professional credentials photography"
furniture_work_02.jpg,"Custom kitchen cabinets installation, modern Israeli kitchen furniture, high quality wood finish, professional cabinet maker work, product photography"
furniture_cert_02.jpg,"Woodworking guild membership certificate Hebrew, furniture design training diploma, Israeli craftsman association credentials, framed wall display"
ac_work_01.jpg,"Air conditioning unit installation, modern split AC system, professional Israeli HVAC work, neat cable management, clean installation photography"
ac_cert_01.jpg,"Hebrew HVAC certification diploma, Israeli air conditioning technician license, refrigerant handling certificate, framed professional credentials"
ac_work_02.jpg,"Commercial air conditioning maintenance, multiple AC units serviced, professional HVAC technician work, Israeli commercial building, professional photography"
ac_cert_02.jpg,"Air conditioning manufacturer certifications, multiple brand training diplomas Hebrew, framed service certificates, professional photography"
accountant_work_01.jpg,"Professional accounting office workspace, organized financial documents, modern computer with spreadsheets, Israeli accounting firm desk, professional office photography"
accountant_cert_01.jpg,"Hebrew CPA certification diploma, Israeli Certified Public Accountant license, framed certificate with gold seal, professional credentials display"
accountant_work_02.jpg,"Tax preparation documents organized, Israeli tax forms and calculations, professional accounting services, neat desk organization, office photography"
accountant_cert_02.jpg,"Accounting degree diploma Hebrew, Israeli university business certificate, professional accounting credentials framed, multiple certifications display"
lawyer_work_01.jpg,"Professional law office, Israeli legal documents and law books, elegant desk with Hebrew legal texts, professional attorney workspace photography"
lawyer_cert_01.jpg,"Hebrew bar association certificate, Israeli lawyer license diploma, framed legal credentials gold border, professional law office wall display"
lawyer_work_02.jpg,"Legal consultation meeting room, professional Israeli law firm interior, legal books background, conference table, professional photography"
lawyer_cert_02.jpg,"Law degree diploma Hebrew, Israeli university law school certificate, bar exam passing certificate, framed professional credentials"
medical_work_01.jpg,"Medical clinic treatment room, clean professional healthcare environment, modern Israeli clinic interior, medical equipment organized, healthcare photography"
medical_cert_01.jpg,"Hebrew medical certification diploma, Israeli healthcare provider license, framed medical credentials, professional wall display photography"
medical_work_02.jpg,"Physical therapy equipment, modern Israeli physiotherapy clinic, treatment bed and exercise equipment, professional healthcare facility photography"
medical_cert_02.jpg,"Physical therapy certification Hebrew, Israeli physiotherapist diploma, multiple medical training certificates framed, professional credentials display"
hair_work_01.jpg,"Professional wig styling result, beautiful sheitel on display stand, Orthodox Jewish women hair piece, high quality human hair, professional product photography"
hair_cert_01.jpg,"Hebrew cosmetology certification, Israeli hair styling diploma, wig specialist training certificate framed, professional credentials"
hair_work_02.jpg,"Before and after wig styling, professional sheitel maintenance result, beautiful natural looking hair piece, Orthodox quality, product photography"
hair_cert_02.jpg,"Wig making specialist certificate Hebrew, sheitel styling training diploma, Israeli hair professional credentials framed"
events_work_01.jpg,"Beautiful kosher event setup, elegant Jewish wedding decoration, Israeli event hall transformed, flowers and table settings, professional event photography"
events_cert_01.jpg,"Hebrew event planning certification, Israeli wedding coordinator diploma, professional event management credentials framed"
events_work_02.jpg,"Bar mitzvah celebration setup, elegant kosher catering display, beautiful table arrangements Israeli style, professional event photography"
events_cert_02.jpg,"Catering certification Hebrew, Israeli kosher food handling diploma, event planning training certificate, framed professional credentials"
photo_work_01.jpg,"Stunning Jewish wedding photograph, Orthodox bride and groom portrait, beautiful Israeli wedding venue, professional photography sample"
photo_cert_01.jpg,"Hebrew photography certification diploma, Israeli professional photographer credentials, camera manufacturer training certificates framed"
photo_work_02.jpg,"Bar mitzvah portrait photography sample, young Jewish boy with tefillin, studio lighting professional result, Israeli style"
photo_cert_02.jpg,"Professional photography training certificates, video production diploma Hebrew, Israeli media arts credentials framed"
moving_work_01.jpg,"Professional moving truck loaded, organized boxes and furniture wrapped, Israeli moving company service, careful handling, professional photography"
moving_cert_01.jpg,"Hebrew moving company license, Israeli transport business certification, professional movers insurance credentials framed"
moving_work_02.jpg,"Apartment moving service, furniture carefully protected, professional Israeli movers at work, organized relocation, service photography"
moving_cert_02.jpg,"Transport certification Hebrew, Israeli logistics training diploma, professional moving company credentials display"
cleaning_work_01.jpg,"Spotless apartment after professional cleaning, shining Israeli home interior, sparkling floors and surfaces, before after cleaning result"
cleaning_cert_01.jpg,"Hebrew cleaning service certification, Israeli professional cleaner training diploma, eco-friendly cleaning credentials framed"
cleaning_work_02.jpg,"Deep carpet cleaning result, professional Israeli cleaning service work, refreshed living room carpet, before after comparison"
cleaning_cert_02.jpg,"Carpet cleaning certification Hebrew, professional cleaning training diplomas, Israeli service industry credentials framed"
computer_work_01.jpg,"Computer repair workspace, organized tech tools and components, Israeli IT service professional desk, modern electronics repair"
computer_cert_01.jpg,"Hebrew IT certification diploma, Israeli computer technician credentials, Microsoft or Cisco training certificates framed"
computer_work_02.jpg,"Network setup completed, organized server rack cables, professional Israeli IT infrastructure work, data center quality"
